Organization,Department,Designation,Functional Role
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","AI / Machine Learning"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Cyber Security"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","e-Governance"
"Ministry of Finance","Economic Affairs","Junior Statistical Officer","Learning & Development"
"Ministry of Finance","Economic Affairs","Other","Statistical Analysis"
"Ministry of Finance","Economic Affairs","Other","Data Analysis"
"Ministry of Finance","Economic Affairs","Other","Survey Operations"
"Ministry of Finance","Economic Affairs","Other","Sampling"
"Ministry of Finance","Economic Affairs","Other","Data Quality & Validation"
"Ministry of Finance","Economic Affairs","Other","Research & Analysis"
"Ministry of Finance","Economic Affairs","Other","Economic Statistics"
"Ministry of Finance","Economic Affairs","Other","Social Statistics"
"Ministry of Finance","Economic Affairs","Other","Demographic Statistics"
"Ministry of Finance","Economic Affairs","Other","Statistical Computing"
"Ministry of Finance","Economic Affairs","Other","Data Management"
"Ministry of Finance","Economic Affairs","Other","Data Governance"
"Ministry of Finance","Economic Affairs","Other","Policy Analysis"
"Ministry of Finance","Economic Affairs","Other","Programme Management"
"Ministry of Finance","Economic Affairs","Other","Monitoring & Evaluation"
"Ministry of Finance","Economic Affairs","Other","Training & Capacity Building"
"Ministry of Finance","Economic Affairs","Other","Administration"
"Ministry of Finance","Economic Affairs","Other","Finance & Accounts"
"Ministry of Finance","Economic Affairs","Other","IT / Digital Systems"
"Ministry of Finance","Economic Affairs","Other","Database Management"
"Ministry of Finance","Economic Affairs","Other","AI / Machine Learning"
"Ministry of Finance","Economic Affairs","Other","Cyber Security"
"Ministry of Finance","Economic Affairs","Other","e-Governance"
"Ministry of Finance","Economic Affairs","Other","Learning & Development"
"Ministry of Education","Educational Statistics","Director","Statistical Analysis"
"Ministry of Education","Educational Statistics","Director","Data Analysis"
"Ministry of Education","Educational Statistics","Director","Survey Operations"
"Ministry of Education","Educational Statistics","Director","Sampling"
"Ministry of Education","Educational Statistics","Director","Data Quality & Validation"
"Ministry of Education","Educational Statistics","Director","Research & Analysis"
"Ministry of Education","Educational Statistics","Director","Economic Statistics"
"Ministry of Education","Educational Statistics","Director","Social Statistics"
"Ministry of Education","Educational Statistics","Director","Demographic Statistics"
"Ministry of Education","Educational Statistics","Director","Statistical Computing"
"Ministry of Education","Educational Statistics","Director","Data Management"
"Ministry of Education","Educational Statistics","Director","Data Governance"
"Ministry of Education","Educational Statistics","Director","Policy Analysis"
"Ministry of Education","Educational Statistics","Director","Programme Management"
"Ministry of Education","Educational Statistics","Director","Monitoring & Evaluation"
"Ministry of Education","Educational Statistics","Director","Training & Capacity Building"
"Ministry of Education","Educational Statistics","Director","Administration"
"Ministry of Education","Educational Statistics","Director","Finance & Accounts"
"Ministry of Education","Educational Statistics","Director","IT / Digital Systems"
"Ministry of Education","Educational Statistics","Director","Database Management"
"Ministry of Education","Educational Statistics","Director","AI / Machine Learning"
"Ministry of Education","Educational Statistics","Director","Cyber Security"
"Ministry of Education","Educational Statistics","Director","e-Governance"
"Ministry of Education","Educational Statistics","Director","Learning & Development"
"Ministry of Education","Educational Statistics","Deputy Director","Statistical Analysis"
"Ministry of Education","Educational Statistics","Deputy Director","Data Analysis"
"Ministry of Education","Educational Statistics","Deputy Director","Survey Operations"
"Ministry of Education","Educational Statistics","Deputy Director","Sampling"
"Ministry of Education","Educational Statistics","Deputy Director","Data Quality & Validation"
"Ministry of Education","Educational Statistics","Deputy Director","Research & Analysis"
"Ministry of Education","Educational Statistics","Deputy Director","Economic Statistics"
"Ministry of Education","Educational Statistics","Deputy Director","Social Statistics"
"Ministry of Education","Educational Statistics","Deputy Director","Demographic Statistics"
"Ministry of Education","Educational Statistics","Deputy Director","Statistical Computing"
"Ministry of Education","Educational Statistics","Deputy Director","Data Management"
"Ministry of Education","Educational Statistics","Deputy Director","Data Governance"
"Ministry of Education","Educational Statistics","Deputy Director","Policy Analysis"
"Ministry of Education","Educational Statistics","Deputy Director","Programme Management"
"Ministry of Education","Educational Statistics","Deputy Director","Monitoring & Evaluation"
"Ministry of Education","Educational Statistics","Deputy Director","Training & Capacity Building"
"Ministry of Education","Educational Statistics","Deputy Director","Administration"
"Ministry of Education","Educational Statistics","Deputy Director","Finance & Accounts"
"Ministry of Education","Educational Statistics","Deputy Director","IT / Digital Systems"
"Ministry of Education","Educational Statistics","Deputy Director","Database Management"
"Ministry of Education","Educational Statistics","Deputy Director","AI / Machine Learning"
"Ministry of Education","Educational Statistics","Deputy Director","Cyber Security"
"Ministry of Education","Educational Statistics","Deputy Director","e-Governance"
"Ministry of Education","Educational Statistics","Deputy Director","Learning & Development"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Statistical Analysis"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Data Analysis"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Survey Operations"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Sampling"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Data Quality & Validation"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Research & Analysis"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Economic Statistics"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Social Statistics"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Demographic Statistics"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Statistical Computing"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Data Management"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Data Governance"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Policy Analysis"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Programme Management"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Monitoring & Evaluation"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Training & Capacity Building"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Administration"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Finance & Accounts"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","IT / Digital Systems"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Database Management"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","AI / Machine Learning"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Cyber Security"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","e-Governance"
"Ministry of Education","Educational Statistics","Senior Statistical Officer","Learning & Development"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Statistical Analysis"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Data Analysis"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Survey Operations"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Sampling"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Data Quality & Validation"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Research & Analysis"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Economic Statistics"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Social Statistics"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Demographic Statistics"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Statistical Computing"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Data Management"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Data Governance"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Policy Analysis"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Programme Management"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Monitoring & Evaluation"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Training & Capacity Building"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Administration"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Finance & Accounts"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","IT / Digital Systems"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Database Management"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","AI / Machine Learning"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Cyber Security"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","e-Governance"
"Ministry of Education","Educational Statistics","Junior Statistical Officer","Learning & Development"
